I am Taro Yamada.	わたしは山田太郎です。
I am a tennis player.	わたしはテニス選手です。
I am from Japan.	わたしは日本から来ました。
I'm Takashi.	わたしはタカシです。
I'm a soccer player.	わたしはサッカー選手です。
I'm from China.	わたしは中国から来ました。
I am not Bob.	わたしはボブではありません。
I am not a teacher.	わたしは先生ではありません。
I am not from Kyoto.	わたしは京都から来ていません。
I'm not Mika.	わたしはミカではありません。
I'm not a swimmer.	わたしは水泳選手ではありません。
I'm not from Tokyo.	わたしは東京から来ていません。
You are Hanako.	あなたは花子です。
You are from Kanagawa.	あなたは神奈川から来ました。
You are a pianist.	あなたはピアニストです。
You're John.	あなたはジョンです。
You're from Saitama.	あなたは埼玉から来ました。
You're a programmer.	あなたはプログラマーです。
You are not Ken.	あなたはケンではありません。
You are not from Osaka.	あなたは大阪から来ていません。
Yor are not a pilot.	あなたはパイロットではありません。
You're not Risa.	あなたはリサではありません。
You're not from Chiba.	あなたは千葉から来ていません。
You're not a doctor.	あなたは医者ではありません。
You aren't Kumi.	あなたはクミではありません。
You aren't from Nagoya.	あなたは名古屋から来ていません。
You aren't an artist.	あなたはアーティストではありません。
She is Hanako.	彼女は花子です。
He is Haruki.	彼はハルキです。
She's Mika.	彼女はミカです。
He's Saburo.	彼は三郎です。
She is a singer.	彼女は歌手です。
He is a prince.	彼は王子です。
She is a cook.	彼女は料理人です。
He is a boxer.	彼はボクサーです。
She is not a student.	彼女は生徒ではありません。
He is not a teacher.	彼は先生ではありません。
She isn't a soccer player.	彼女はサッカー選手ではありません。
He isn't a doctor.	彼は医者ではありません。
She is not Risa.	彼女はリサではありません。
He is not Bob.	彼はボブではありません。
She's not Nancy.	彼女はナンシーではありません。
He's not Mike.	彼はマイクではありません。
This is a pen.	これはペンです。
That is a ball.	あれはボールです。
That's a car.	あれは車です。
This's an apple.	これはりんごです。
It's an orange.	それはオレンジです。
It is an eraser.	それは消しゴムです。
This is America.	これはアメリカです。
That is China.	あれは中国です。
It is Japan.	それは日本です。
This is not Hokkaido.	これは北海道ではありません。
That is not Aomori.	あれは青森ではありません。
It is not Hyogo.	それは兵庫ではありません。
This isn't London.	これはロンドンではありません。
That isn't Kyoto.	あれは京都ではありません。
It isn't Shimane.	それは島根ではありません。
That's not bread.	あれはパンではありません。
It's not a pizza.	それはピザではありません。
Are you Tom? Yes, I am.	あなたはトムですか？ はい、そうです。
Are you from Shimane? No, I am not.	あなたは島根から来ましたか？ いいえ、違います。
Are you a baseball fan? No, I am not.	あなたは野球ファンですか？ いいえ、違います。
Are you Mike? No, I'm not.	あなたはマイクですか？ いいえ、違います。
Are you from Gifu? Yes, I'm.	あなたは岐阜から来ましたか？ はい、そうです。
Are you a farmer? Yes, I'm.	あなたは農家ですか？ はい、そうです。
Are you Kate?	あなたはケイトですか？
Are you from Okinawa?	あなたは沖縄から来ましたか？
Are you a singer?	あなたは歌手ですか？
Is this a pen? Yes, it is.	これはペンですか？ はい、そうです。
Is that a taxi? Yes, it is.	あれはタクシーですか？ はい、そうです。
Is it a bread? Yes, it is.	それはパンですか？ はい、そうです。
Is that a cookie? No, it's a dango.	あれはクッキですか？ いいえ、それは団子です。
Is this a computer? No, it's a TV.	これはコンピュータですか？ いいえ、それはテレビです。
Is it a butter? No, it's a cheese.	それはバターですか？ いいえ、それはチーズです。
Is this a carrot? No, it's not.	これはニンジンですか？ いいえ、違います。
Is that a meat? No, it is not.	あれは肉ですか？ いいえ、違います。
Is it an egg? No, it is not.	それはタマゴですか？ いいえ、違います。
Is this a pig?	これはブタですか？
Is that a bee?	あれはハチですか？
Is that an orange?	あれはオレンジですか？
Is this an apple?	これはりんごですか？
Is that Canada?	あれはカナダですか？
Is this Taiwan?	これは台湾ですか？
Is he a softball player? Yes, he is.	彼はソフトボール選手ですか？ はい、そうです。
Is she a boxing fan? Yes, she is.	彼女はボクシングのファンですか？ はい、そうです。
Is he a golfer? No, he is not.	彼はゴルファーですか？ いいえ、違います。
Is she a surfer? No, she is not.	彼女はサーファーですか？ いいえ、違います。
Is he a doctor? No, he's not.	彼は医者ですか？ いいえ、違います。
Is she a nurse? No, she's not.	彼女はナースですか？ いいえ、違います。
Is he a prince? No, he isn't.	彼は王子ですか？ いいえ、違います。
Is she a princess? No, she isn't.	彼女は王女ですか？ いいえ、違います。
Is he a dancer?	彼はダンサーですか？
Is she a teacher?	彼女は先生ですか？
Is he Mike?	彼はマイクですか？
Is she Miku?	彼女はミクですか？
What is this?	これは何ですか？
What's this?	これは何ですか？
What is that?	あれは何ですか？
What's that?	あれは何ですか？
What is this? It's an egg.	これは何ですか？ それはタマゴです。
What's this? It is a banana.	これは何ですか？ それはバナナです。
What is this? It is a pencil.	これは何ですか？ それは鉛筆です。
What's this? It's an apple.	これは何ですか？ それはりんごです。
What is this? It's an ant.	これは何ですか？ それはアリです。
What's this? It is a rat.	これは何ですか？ それはネズミです。
What is this? It is a bread.	これは何ですか？ それはパンです。
What's this? It's an ice.	これは何ですか？ それはアイスです。
She is a small girl.	彼女は小さな女の子です。
This is a new pencil.	これは新しい鉛筆です。
This pencils is new.	この鉛筆は新しいです。
That is a red cap.	あれは赤いぼうしです。
That cap is red.	あの赤いぼうしは赤いです。
It is a blue flower.	それは青い花です。
You are kind.	あなたはやさしい。
I am busy.	わたしはいそがしい。
Is he young?	彼はやさしいですか？
Is this beautiful?	これは美しいですか？
Is it interesting?	それは面白いですか？
Are you angry? No, I am not.	あなたたちはおこっていますか？ いいえ、違います。
Am I beautiful? No, you are not.	わたしは美しいですか？ いいえ、違います。
Are you sad? No, I'm not.	あなたは悲しいですか？ いいえ、違います。
Am I cute? No, you're not.	わたしはかわいいですか？ いいえ、違います。
Are you happy? Yes, I am.	あなたは幸せですか？ はい、そうです。
Am I cool? Yes, you are.	わたしはかっこいいですか？ はい、そうです。
I like math.	わたしは算数が好きです。
I play table tennis.	わたしは卓球が好きです。
You study Japanese.	あなたは日本語を勉強します。
You need a help.	あなたは助けが必要です。
I have a dog.	わたしは犬を飼っています。
I do not eat chiken.	わたしはニワトリを食べません。
I don't play the guitar.	わたしはギターをひきません。
You do not have a computer.	あなたはコンピュータを持っていません。
You don't have a cat.	あなたはネコを飼っていません。
Do you have a kimono?	あなたは着物を持っていますか？
Do you know my father?	あなたは私を知っていますか？
Do you want a banana? Yes, I do.	あなたはバナナが好きですか？ はい、そうです。
Do you speak English? No, I do not.	あなたは英語を話しますか？ いいえ、違います。
Do you have an eraser? No, I don't.	あなたは消しゴムを持っていますか？ いいえ、違います。
What do you want?	あなたは何がほしいですか？
What do you think?	あなたは何を考えていますか？
What do you eat every day?	あなたは毎日何を食べていますか？
What do you do after lunch?	あなたは昼食後に何をしていますか？
I have some books.	わたしはいくつかの本を持っています。
I have some balls.	わたしはいくつかのボールを持っています。
I have some bags.	わたしはいくつかのカバンを持っています。
I do not have any books.	わたしは本を1つも持っていません。
I do not have any balls.	わたしはボールを1つも持っていません。
I don't have any bags.	わたしはカバンを1つも持っていません。
I don't have any pens.	わたしはペンを1つも持っていません。
I have two babies.	わたしには2人の赤ちゃんがいます。
I have three classes.	わたしは3つのクラスを持っています。
I have four boxes.	わたしは4冊の本を持っています。
I do not have leaves.	わたしは葉っぱをもっていません。
I do not have knives.	わたしはナイフを持っていません。
I don't have wives.	わたしには妻がいません。
I don't have any glasses.	わたしは一つもメガネを持っていません。
I have many apples.	わたしはたくさんのりんごを持っています。
I have many cups.	わたしはたくさんのカップを持っています。
I have many desks.	わたしはたくさんの机を持っています。
I have many dishes.	わたしはたくさんのお皿を持っています。
He likes winter.	彼は冬が好きです。
She likes summer.	彼女は夏が好きです。
My mother likes spring.	私の母は春が好きです。
My parents like autumn.	私の両親たちは秋が好きです。
He does not like winter.	彼は冬が好きではありません。
She does not like summer.	彼女は夏が好きではありません。
My mother does not like spring.	私の母は春が好きではありません。
My parents do not like autumn.	私の両親たちは秋が好きではありません。
He lives in Tokyo.	彼は東京に住んでいます。
She lives in Hokkaido.	彼女は北海道に住んでいます。
My father lives in Miyagi.	私の父は宮城に住んでいます。
He does not live in Tokyo.	彼は東京に住んでいません。
She does not live in Hokkaido.	彼女は北海道に住んでいません。
My father does not live in Miyagi.	私の父は宮城に住んでいません。
He studies math after school.	彼は放課後に算数を勉強します。
She studies science after school.	彼女は放課後に理科を勉強します。
He and she study math after school.	彼と彼女は放課後に算数を勉強します。
He does not study math after school.	彼は放課後に算数を勉強しません。
She does not study science after school.	彼女は放課後に理科を勉強しません。
He does not study math after school.	彼と彼女は放課後に算数を勉強しません。
My brother has a green car.	私の兄は緑の車を持っています。
My sister has a red car.	私の姉は赤い車を持っています。
Ms. Kate has a blue car.	ケイトさんは青い車を持っています。
My brother does not have a green car.	私の兄は緑の車を持っていません。
My sister does not have a red car.	私の姉は赤い車を持っていません。
Ms. Kate does not have a blue car.	ケイトさんは青い車を持っていません。
He teaches Japanese.	彼は日本語を教えます。
She teaches Chinese.	彼女は中国語を教えます。
Ms. Nancy teaches English.	ナンシーさんは英語を教えます。
He does not teach Japanese.	彼は日本語を教えません。
She does not teach Chinese.	彼女は中国語を教えません。
Ms. Nancy does not teach English.	ナンシーさんは英語を教えません。
He washes the dishes.	彼はお皿を洗います。
She washes the dishes.	彼女はお皿を洗います。
Mr. John washes the dishes.	ジョンさんはお皿を洗います。
Does he wash the dishes?	彼はお皿を洗いますか？
Does she wash the dishes?	彼女はお皿を洗いますか？
Does Mr. John wash the dishes?	ジョンさんはお皿を洗いますか？
He watches YouTube every morning.	彼は毎朝YouTubeを見ます。
She watches YouTube every night.	彼女は毎夜YouTubeを見ます。
He and she watch YouTube every day.	彼と彼女は毎日YouTubeを見ます。
Does he watches YouTube every morning?	彼は毎朝YouTubeを見ますか？
Does she watches YouTube every night?	彼女は毎夜YouTubeを見ますか？
Do he and she watch YouTube every day?	彼と彼女は毎日YouTubeを見ますか？
He speaks English.	彼は英語を話します。
She speaks Chinese.	彼女は中国語を話します。
My dog speaks Japanese.	私の犬は日本語を話します。
Does he speak English? Yes, he does.	彼は英語を話しますか？ はい、話します。
Does she speak Chinese? No, she doesn't.	彼女は中国語を話しますか？ いいえ、話しません。
Does my dog speak Japanese? Yes, it does.	私の犬は日本語を話しますか？ はい、話します。
Bob plays soccer.	ボブはサッカーをします。
Mika plays basketball.	ミカはバスケットボールをします。
Bob and Mika play tennis.	ボブとミカはテニスをします。
Does Bob play soccer? Yes, he does.	ボブはサッカーをしますか？ はい、します。
Does Mika play basketball? No, he does not.	ミカはバスケットボールをしますか？ いいえ、しません。
Do Bob and Mika play tennis? Yes, they do.	ボブとミカはテニスをしますか？ はい、します。
He goes shopping.	彼は買い物に行きます。
She goes shopping.	彼女は買い物に行きます。
Tom and Mike go shopping.	トムとマイクは買い物に行きます。
Does he go shopping? Yes, he does.	彼は買い物に行きますか？ いいえ、行きません。
Does she go shopping? No, she does not.	彼女は買い物に行きますか？ はい、行きます。
Do Tom and Mike go shopping? Yes, he does.	トムとマイクは買い物に行きますか？ いいえ、行きません。
This is my mother's bag.	これは私の母のカバンです。
This is her bag.	これは彼女のカバンです。
That is my brother's pen.	これは私の兄のペンです。
That is his pen.	これは彼のペンです。
These are Jane's books.	これらはジェーンの本です。
These are her books.	これらは彼女の本です。
We play tennis with Ken and Mike.	わたしたちはケンとマイクと一緒にテニスをしました。
We play tennis with them.	わたしたちは彼らと一緒にテニスをしました。
Tom and Bob is kind. I like them.	トムとボブは優しい。わたしは彼らが好きです。
Do you use that ball?  No, I don't use it.	あなたはあのボールを使いますか？ いいえ、わたしはそれを使いません。
These are my pencils. I use them every day.	これらはわたしの鉛筆です。 わたしは毎日それらを使います。
I always play soccer.  I like it.	わたしはいつもサッカーをしています。わたしはそれが好きです。
He is Ken. I often help him.	彼はケンです。わたしはよく彼を助けます。
Do you like him? Yes, I like him very much.	あなたは彼が好きですか？ はい、わたしは彼をとても好きです。
That's Mika. Do you know her?	あれはミカです。あなたは彼女を知っていますか？
They play soccer with me.	彼らはわたしといっしょにサッカーをよくします。
They don't swim with you.	彼らはあなたといっしょに泳ぎません。
I cook cookies and give them for you.	わたしはクッキーを作って、あなたにあげます。
Where is my pencil? It's on the table.	わたしの鉛筆はどこにありますか？ テーブルの上にあります。
Where does she live? She lives in Tokyo.	彼女はどこに住んでいますか？ 東京に住んでいます。
Where do they play soccer?  They play it in the park.	彼らはどこでサッカーをしますか？ 公園でします。
When is next holiday? It's January 1.	次の祝日はいつですか？ 1月1日です。
When do you watch TV?  I watch TV after lunch.	あなたはいつテレビを見ますか？ わたしは昼食後にテレビを見ます。
When does he study English?  He study it on Sunday.	彼は英語をいつ勉強しますか？ 彼は日曜に勉強します。
What sports do you play?  I play tennis.	あなたは何のスポーツをしますか？ わたしはテニスをします。
What food do you like?  I like sushi.	あなたは食べ物は何が好きですか？ わたしは寿司が好きです。
What book does she read?  She read a novel.	彼女は何の本を読みますか？ 彼女は小説を読みます。
What is that? It is dango.	あれは何ですか？ それは団子です。
What do you have? I have a pen.	あなたは何を持っていますか？ わたしはペンを持っています。
Who are they? They are farmers.	彼らはだれですか？ 彼らは農家です。
Who has the ball?  Ken does.	だれがボールを持っていますか？ ケンが持っています。
Who has the ball?  Mike and Emi do.	誰がボールを持っていますか？ マイクとエミが持っています。
Who is he? He is Tom.	彼は誰ですか？ 彼はトムです。
Where is her bag?	彼女のカバンはどこですか？
Where do you go?	あなたはどこへ行きますか？
Where does he live?	彼はどこに住んでいますか？
When is your birthday?	あなたの生まれた日はいつですか？
When do we meet next?	わたしたちは次にいつ会いますか？
When does she sing?	彼女はいつ歌いますか？
What is this?	これは何ですか？
What do they like?	彼らは何が好きですか？
Who is she?	彼女はだれですか？
Who are you?	あなたたちは誰ですか？
Who plays the piano?	だれがピアノをひいていますか？
Whose book is this?	これはだれの本ですか？
Whose pen is that?	あれはだれのペンですか？
Whose camera is that? It is mine.	あれはだれのペンですか？ それは私のものです。
Whose house is this? It is yours.	これはだれのペンですか？ それはあなたのものです。
Whose jacket is this? It is his.	あれはだれのジャケットですか？ それは彼のものです。
Whose bike is this? It is his.	あれはだれのジャケットですか？ それは彼のものです。
Whose ball is this? It is theirs.	これはだれのボールですか？ それは彼らのものです。
Whose erasers are those?	あれらはだれの消しゴムですか？
Whose flowers are these?	これらはだれの花ですか？
Whose cats are those? They are ours.	あれらはだれのネコですか？ それは私たちのネコです。
Whose cars are these? They are yours.	これらはだれの車ですか？ それはあなたたちのものです。
Whose dog does she walk every morning?	彼女は毎朝だれの犬を散歩しますか？
Whose pen does it write smoothly?	だれのペンがスムーズに書けますか？
Whose laptop does he use for work?	彼は仕事でだれのラップトップを使っていますか？
Whose laptop does she use for game? It's her mother's.	彼女はだれのラップトップをゲームで使っていますか？ 母親のものです。
Whose car does he drive? He drives mine.	彼はだれの車を運転しますか？ 私のものを運転します。
Whose bags do you have? I have theirs.	あなたは誰のバッグを持っていますか？ 彼女らのものを持っています。
You can speak English well.	あなたは英語をうまく話せます。
She can play the piano.	彼女はピアノをひけます。
He can cook hamburger.	彼はハンバーガーを作れます。
You can run fast.	あなたは早く走れます。
Dogs can not play tennis.	犬はテニスができません。
I can not eat lemons.	わたしはレモンを食べられません。
We can't use this house.	わたしたちはこの家を使えません。
Cats can't sing a song.	ネコは歌を歌えません。
Can I play baseball here? Yes, you can.	わたしたちはここで野球ができますか？ はい、できます。
Can he speak English? No, he can not.	彼は英語を話せますか？ いいえ、できません。
Can you take a picture? No, I can't.	あなたは写真が取れますか？ いいえ、できません。
Can I play baseball here?	わたしたちはここで野球ができますか？
Can he speak English?	彼は英語を話せますか？
Can you take a picture?	あなたは写真が取れますか？
What can you cook? I can cook rice ball.	あなたはどんな料理ができますか？ わたしはおにぎりを作れます。
Where can we play soccer? In the park.	わたしたちはどこでサッカーができますか？ 公園でできます。
When can she come ? 5 o'clock.	彼女はいつ来ることができますか？ 5時です。
Who can run fast? Ken can.	だれが早く走れますか？
Why can birds fly? Because birds have wings.	鳥はなぜ飛べるのですか？ 鳥にはつばさがあるからです。
How many eggs can he eat? Forty.	彼はタマゴをいくつ食べられますか？ 40こです。
He cleaned a room.	彼は部屋を掃除しました。
I visited Kyoto yesterday.	わたしは昨日京都へ訪れました。
They helped an old man.	彼らは老人を助けました。
She lived in Tokyo.	彼女は東京に住んでいました。
We studied math yesterday.	わたしたちは昨日算数を勉強しました。
You liked cookies 10 years ago.	あなたは10年前クッキーが好きでした。
I dropped the money.	わたしはお金を落としました。
He tried hard last night.	彼は昨夜、一生けん命に挑戦しました。
My mother used a camera.	私の母はカメラを使いました。
Taro and Hanako looked the window.	太郎と花子は窓を見ました。
He did not clean a room.	彼は部屋を掃除しませんでした。
I did not visit Kyoto yesterday.	わたしは昨日京都を訪れませんでした。
They didn't help an old man.	彼らは老人を助けませんでした。
She didn't live in Tokyo.	彼女は東京に住んでいませんでした。
Did you study math yesterday?	あなたは昨日算数を勉強しましたか？
Did you like cookies?	あなたはクッキーが好きでしたか？
Did she open the door?	彼女はドアを開けましたか？
Did you drop the money? Yes, I did.	あなたはお金を落としましたか？ はい、落としました。
Did he try hard? No, he did not.	彼は一生けん命挑戦しましたか？ いいえ、挑戦していません。
Did you look this picture? No, we didn't.	あなたはこの写真を見ましたか？ いいえ、見ていません。
Who played the guitar? Jane did.	誰がギターをひきましたか？ ジェーンがひきました。
Where did you live?  I lived in Chiba.	あなたはどこに住んでいましたか？ 千葉に住んでいました。
What did you cook last night?  I cooked oden.	あなたは昨夜何を料理しましたか？ おでんを料理しました。
When did you start? 10 o'clock.	あなたはいつ始めましたか？ 10時です。
Who played the guitar?	だれがギターをひきましたか？
Where did you live?	あなたはどこに住んでいましたか？
What did he do on Sunday morning?	彼は日曜の朝に何をしていましたか？
When did you stay home?	あなたはいつ家にいましたか？
I was ten years old last year.	 わたしは去年10才でした。
He was in the bank two hours ago.	彼は2時間前、銀行にいました。
She was in the park yesterday.	彼女は昨日、公園にいました。
This cat was very cute.	このネコはとてもかわいかった。
You were busy weekend.	あなたは先週末、忙しかったです。
They were late for school yestarday.	彼らは昨日、学校に遅刻しました。
The questions were difficult.	その問題は難しかった。
I was not ten years old last year.	 わたしは去年10才でした。
He was not in the bank two hours ago.	彼は2時間前、銀行にいませんでした。
She wasn't in the park yesterday.	彼女は昨日、公園にいませんでした。
This cat was not cute.	このネコはかわいくなかった。
You were not busy weekend.	あなたは先週末、忙しくなかった。
They were not late for school yestarday.	彼らは昨日、学校に遅刻しませんでした。
The questions weren't not difficult.	その問題は難しくなかった。
Was I famous in this country?	わたしはこの国で有名でしたか？
Was he in the library? No he was not.	彼は図書館にいましたか？ いいえ、いませんでした。
Was your mother in the kitchen.	あなたのお母さんはキッチンにいましたか？
Was the movie interesting?	その映画は面白かったですか？
Were you in Okinawa in last week?	あなたは先週、沖縄にいましたか？
Were they busy yesterday?	彼らは昨日、忙しかったですか？
Were These books easy? Yes, they are.	この本はかんたんでしたか？ はい、かんたんでした。
I went to the library last week.	わたしは先週図書館へ行きました。
He made cookies for her.	彼は彼女のためにクッキーを作りました。
They took a bath.	彼らは風呂に入りました。
You saw the star last night.	あなたは昨夜星を見ました。
We bought the erasers.	わたしたちはその消しゴムを買いました。
I taught math in Japanese.	わたしは算数を日本語で教えました。
He knew the fact.	彼は真実を知っていました。
They met Tomoko yesterday.	彼らは昨日トモコと会いました。
You wrote a letter.	あなたは手紙を書きました。
I did not go to the library last week.	わたしは先週図書館へ行きませんでした。
He did not make cookies for her.	彼は彼女のためにクッキーを作りませんでした。
They didn't take a bath.	彼らは風呂に入りませんでした。
You didn't see the star last night.	あなたは昨夜星を見ませんでした。
Did he know the fact? Yes, he did.	彼は真実を知っていましたか？ はい、知っていました。
Did they meet Momo? No, they did not.	彼らはモモと会いましたか？ いいえ、会いませんでした。
Did you write a letter? No, I didn't.	あなたは手紙を書きましたか？ いいえ、書きませんでした。
Did he know the fact?	彼は真実を知っていましたか？
Did they meet Momo?	彼らはモモに会いましたか？
Did you write a letter?	あなたは手紙を書きましたか？
Who ran in the park? Sanae did.	だれが公園で走りましたか？サナエが走りました。
Where did you go? I went to the hospital.	あなたはどこへ行きましたか？ 病院へ行きました。
What did you take? I took this sandwich.	あなたは何を取りましたか？ サンドイッチを取りました。
When did you give that gift? Sunday morning.	あなたはいつあのプレゼントを渡しましたか？ 日曜の朝です。
Who ran in the park?	だれが公園で走りましたか？
Where did you go?	あなたはどこへ行きましたか？
What did you take?	あなたは何を取りましたか？
When did you give this gift?	あなたはいつあのプレゼントを渡しましたか？
Wash your hands.	手を洗いなさい。
Wash your foots, please.	足を洗ってください。
Please wash your body.	体を洗ってください。
Be quiet in this room.	この部屋では静かにしなさい。
Be quiet in that room, please	あの部屋では静かにしてください。
Please be quiet in the library.	図書館では静かにしてください。
Do not play baseball here. 	ここで野球をしないで。
Don't play tennis here, please. 	ここでテニスをしないでください。
Please do not sing a song here.	ここで歌をうたわないでください。
Go to school at eight o'clock.	8時に学校に行きなさい。
Do not swim in the hot springs.	温泉で泳がないでください。
Brush your teeth before the game.	ゲームの前に歯をみがきなさい。
Please take a bath after dinner.	夕食の後は風呂に入ってください。
Write your notes in pencil, please.	ノートはえんぴつで書いてください。
Open the door, please.	ドアを開けてください。
Do not be a bad boy.	悪い子にならないで。
Don't be afraid of this dog.	この犬をこわがらないで。
How cute!	なんてかわいいんだ！
How long!	なんて長いんだ！
How busy! I'm finished.	なんていそがしさだ！もうだめだ。
How beautiful this flower is!	この花はなんて美しいんだ！
How big America is!	なんてアメリカは大きいんだ！
What a big cat!	なんて大きなネコなんだ！
What a beautiful picture!	なんて美しい写真だろう！
What a crazy car!	なんてクレイジーな車なんだ！
He is studying English.	彼らは英語を勉強しています。
I am running now.	わたしは今走っています。
My father is watching TV.	わたしの父はテレビを見ています。
They are playing baseball.	彼らは野球をしています。
She is not writing a letter.	彼女は手紙を書いていません。
We are not making a cake.	わたしたちはケーキを作っていません。
You aren't swimming now.	あなたたちは今泳いでいません。
It is not raining.	雨が降っています。
It's not snowing now.	今雪が降っています。
Is he studying hard?	彼らはしっかりと勉強していますか？
Tom and Elena are checking the box?	トムとエレナは箱を調べていますか？
Are you living in Kumamoto? No, I'm not.	あなたは熊本に住んでいますか？ いいえ、違います。
Is he eating curry rice? No, he is.	彼はカレーライスを食べていますか？ いいえ、違います。
Are you taking a bath? Yes, we are.	あなたたちは風呂に入っていますか？ はい、そうです。
Is she sleeping now? Yes, she is.	彼女は今ねむっていますか？ はい、そうです。
What are you doing? I am reading a book.	あなたは今何をしていますか？
Where are you going? I'm going to the school.	あなたはどこへ行きますか？ 学校へ行くところです。
Who is singing?  Mami is.	だれが歌っていますか？ マミです。
Who is comming now? Tom and Bob are.	だれが今来るのですか？ トムとボブです。
What are you playing?	あなたは何をひいていますか？
Where are you running?	あなたはどこを走っていますか？
Who is dancing?	誰がおどっていますか？
I was sleeping then.	私はそのとき、寝ていました。
He was cooking the lanch.	彼は昼食を作っていました。
She was writing a letter.	彼女は手紙を書いていました。
You were swimming.	あなたは泳いでいました。
They were playing tennis then.	彼らはそのとき、テニスをしていました。
We were studying math.	私たちは数学を勉強していました。
I was not sleeping then.	私はそのとき、寝ていませんでした。
He was not cooking the lanch.	彼は昼食を作っていませんでした。
She was not writing a letter.	彼女は手紙を書いていませんでした。
You were not swimming.	あなたは泳いでいませんでした。
They were not playing tennis then.	彼らはそのとき、テニスをしていませんでいた。
We were not studying math.	私たちは数学を勉強していませんでした。
Was I running here yesterday? Yes, you are.	私は昨日、ここを走っていましたか？ はい、走ってていました。
Was he teaching English?	彼は英語を教えていましたか？
Was she helping you then?	彼女はそのとき、あなたを助けていましたか？
Were you reading the book?	あなたはその本を読んでいましたか？
Were we checking this box then?	私たちはそのとき、この箱をチェックしていましたか？
Were they watching TV? No, they weren't.	彼らはテレビを見ていましたか？ いいえ、見ていませんでした。
